https://www.CryptoDataDownload.com
uniq,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1649995200000,2022-04-15 04:00:00,1INCH/USD,1.539,1.5429,1.4906,1.5135,24196.793858,36621.847504083
1649937600000,2022-04-14 12:00:00,1INCH/USD,1.5305,1.5511,1.483,1.5199,22510.547121,34213.7805692079
1649908800000,2022-04-14 04:00:00,1INCH/USD,1.5501,1.5671,1.483,1.539,20857.460278,32099.631367841997
1649851200000,2022-04-13 12:00:00,1INCH/USD,1.5047,1.569,1.4962,1.5305,31174.632844,47712.775567742
1649822400000,2022-04-13 04:00:00,1INCH/USD,1.5155,1.569,1.5155,1.5501,24351.999621,37748.0346125121
1649764800000,2022-04-12 12:00:00,1INCH/USD,1.5117,1.538,1.4579,1.5047,57103.728454,85923.98020473379
1649736000000,2022-04-12 04:00:00,1INCH/USD,1.4558,1.5219,1.4546,1.5155,44483.124643,67414.17539646651
1649678400000,2022-04-11 12:00:00,1INCH/USD,1.4803,1.5125,1.4218,1.5117,27396.033113,41414.5832569221
1649649600000,2022-04-11 04:00:00,1INCH/USD,1.5615,1.5816,1.4218,1.4558,33185.341338,48311.2199198604
1649592000000,2022-04-10 12:00:00,1INCH/USD,1.6192,1.659,1.4736,1.4803,27823.184602,41186.6601663406
1649563200000,2022-04-10 04:00:00,1INCH/USD,1.651,1.659,1.5462,1.5615,20361.552339,31794.563977348505
1649505600000,2022-04-09 12:00:00,1INCH/USD,1.635,1.6667,1.604,1.6192,36056.787472,58383.1502746624
1649476800000,2022-04-09 04:00:00,1INCH/USD,1.6157,1.6667,1.611,1.651,41729.056376,68894.672076776
1649419200000,2022-04-08 12:00:00,1INCH/USD,1.6402,1.6712,1.5646,1.635,55925.636711,91438.416022485
1649390400000,2022-04-08 04:00:00,1INCH/USD,1.6881,1.6909,1.5646,1.6157,58909.590367,95180.22515596189
1649332800000,2022-04-07 12:00:00,1INCH/USD,1.6553,1.7513,1.5817,1.6402,44256.590148,72589.65916074961
1649304000000,2022-04-07 04:00:00,1INCH/USD,1.6125,1.7513,1.5817,1.6881,38520.296379,65026.112317389896
1649246400000,2022-04-06 12:00:00,1INCH/USD,1.7172,1.7393,1.5719,1.6553,55580.344543,92002.1443220279
1649217600000,2022-04-06 04:00:00,1INCH/USD,1.7533,1.7533,1.5719,1.6125,40462.800947,65246.26652703751
1649160000000,2022-04-05 12:00:00,1INCH/USD,1.9225,1.9796,1.6953,1.7172,173077.347813,297208.4216644836
1649131200000,2022-04-05 04:00:00,1INCH/USD,1.9201,1.9796,1.7062,1.7533,158593.194127,278061.4472628691
1649073600000,2022-04-04 12:00:00,1INCH/USD,1.9441,1.9796,1.8054,1.9225,87395.68639,168018.207084775
1649044800000,2022-04-04 04:00:00,1INCH/USD,1.9619,2.0034,1.8054,1.9201,57061.065519,109562.9519030319
1648987200000,2022-04-03 12:00:00,1INCH/USD,1.9765,2.0034,1.8955,1.9441,35377.80135,68777.983604535
1648958400000,2022-04-03 04:00:00,1INCH/USD,1.945,2.0274,1.918,1.9619,35464.429203,69577.6636533657
1648900800000,2022-04-02 12:00:00,1INCH/USD,2.0162,2.0719,1.8748,1.9765,76523.738594,151249.169331041
1648872000000,2022-04-02 04:00:00,1INCH/USD,1.9284,2.095,1.8748,1.945,105290.836163,204790.676337035
1648814400000,2022-04-01 12:00:00,1INCH/USD,1.7442,2.095,1.7101,2.0162,104078.353005,209842.775328681
1648785600000,2022-04-01 04:00:00,1INCH/USD,1.7039,1.9687,1.7039,1.9284,84446.603007,162846.8292386988
1648728000000,2022-03-31 12:00:00,1INCH/USD,1.9202,1.9202,1.6731,1.7442,48135.710866,83958.3068924772
1648699200000,2022-03-31 04:00:00,1INCH/USD,1.8815,1.9314,1.6731,1.7039,33012.468837,56249.9456513643
1648641600000,2022-03-30 12:00:00,1INCH/USD,1.8398,1.9314,1.7878,1.9202,35754.764286,68656.29838197719
1648612800000,2022-03-30 04:00:00,1INCH/USD,1.7635,1.9239,1.7635,1.8815,27842.675549,52385.9940454435
1648555200000,2022-03-29 12:00:00,1INCH/USD,1.8244,1.9163,1.7031,1.8398,64568.465947,118793.0636492906
1648526400000,2022-03-29 04:00:00,1INCH/USD,1.7556,1.9163,1.7031,1.7635,60245.275413,106242.54319082551
1648468800000,2022-03-28 12:00:00,1INCH/USD,1.7956,1.8351,1.7095,1.8244,24884.443421,45399.1785772724
1648440000000,2022-03-28 04:00:00,1INCH/USD,1.7886,1.8277,1.7095,1.7556,28917.305376,50767.2213181056
1648382400000,2022-03-27 12:00:00,1INCH/USD,1.6909,1.8187,1.6443,1.7956,28894.0381,51882.134812360004
1648353600000,2022-03-27 04:00:00,1INCH/USD,1.6503,1.7959,1.6254,1.7886,23534.34524,42093.52989626399
1648296000000,2022-03-26 12:00:00,1INCH/USD,1.5931,1.7307,1.5794,1.6909,13486.709071,22804.6763681539
1648267200000,2022-03-26 04:00:00,1INCH/USD,1.5672,1.6714,1.5672,1.6503,11674.460978,19266.3629519934
1648209600000,2022-03-25 12:00:00,1INCH/USD,1.6495,1.6527,1.5475,1.5931,21178.886109,33740.0834602479
1648180800000,2022-03-25 04:00:00,1INCH/USD,1.614,1.6567,1.5475,1.5672,22510.675281,35278.7303003832
1648123200000,2022-03-24 12:00:00,1INCH/USD,1.6049,1.6567,1.5599,1.6495,22368.306448,36896.521485976
